8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2024-08-12-10:56:35; 151=8514; 55=AAPL; 11=C_algo20240812105634; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105635; 32=0; 41=algo20240812105634; 38=25540; 60=2024-08-12-10:56:35; 6=0.0; 14=8513; 37=algo20240812105634; 10=252;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=M3; 52=2024-08-12-10:56:37; 151=14007; 55=MSFT; 11=C_algo20240812105637; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105637; 32=0; 41=algo20240812105637; 38=17508; 60=2024-08-12-10:56:37; 6=0.0; 14=0; 37=algo20240812105637; 10=252;
8=FIX4.4; 35=8; 34=60; 49=MS; 56=M3; 52=2024-08-12-10:56:39; 151=17160; 55=AMZN; 11=C_algo20240812105639; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105639; 32=0; 41=algo20240812105639; 38=22880; 60=2024-08-12-10:56:39; 6=0.0; 14=0; 37=algo20240812105639; 10=252;
8=FIX4.4; 35=8; 34=66; 49=MS; 56=M3; 52=2024-08-12-10:56:44; 151=15423; 55=GOOG; 11=C_algo20240812105643; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105644; 32=0; 41=algo20240812105643; 38=25705; 60=2024-08-12-10:56:44; 6=0.0; 14=5141; 37=algo20240812105643; 10=252;
8=FIX4.4; 35=8; 34=71; 49=MS; 56=M3; 52=2024-08-12-10:56:49; 151=11712; 55=INTC; 11=C_algo20240812105649; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105649; 32=0; 41=algo20240812105649; 38=14640; 60=2024-08-12-10:56:49; 6=0.0; 14=0; 37=algo20240812105649; 10=252;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=M3; 52=2024-08-12-10:56:52; 151=10634; 55=PEP; 11=C_algo20240812105651; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105652; 32=0; 41=algo20240812105651; 38=31902; 60=2024-08-12-10:56:52; 6=0.0; 14=10634; 37=algo20240812105651; 10=252;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=M3; 52=2024-08-12-10:56:54; 151=6718; 55=NFLX; 11=C_algo20240812105654; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105654; 32=0; 41=algo20240812105654; 38=13435; 60=2024-08-12-10:56:54; 6=0.0; 14=0; 37=algo20240812105654; 10=252;
8=FIX4.4; 35=8; 34=93; 49=MS; 56=M3; 52=2024-08-12-10:57:06; 151=3916; 55=TXN; 11=C_algo20240812105702; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105706; 32=0; 41=algo20240812105702; 38=19576; 60=2024-08-12-10:57:06; 6=0.0; 14=11745; 37=algo20240812105702; 10=252;
8=FIX4.4; 35=8; 34=105; 49=MS; 56=M3; 52=2024-08-12-10:57:13; 151=6043; 55=TMUS; 11=C_algo20240812105713; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105713; 32=0; 41=algo20240812105713; 38=12086; 60=2024-08-12-10:57:13; 6=0.0; 14=0; 37=algo20240812105713; 10=252;
8=FIX4.4; 35=8; 34=108; 49=MS; 56=M3; 52=2024-08-12-10:57:16; 151=25348; 55=MDLZ; 11=C_algo20240812105716; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105716; 32=0; 41=algo20240812105716; 38=31684; 60=2024-08-12-10:57:16; 6=0.0; 14=0; 37=algo20240812105716; 10=252;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=M3; 52=2024-08-12-10:57:20; 151=12098; 55=DDD; 11=C_algo20240812105720; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105720; 32=0; 41=algo20240812105720; 38=18147; 60=2024-08-12-10:57:20; 6=0.0; 14=0; 37=algo20240812105720; 10=252;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=M3; 52=2024-08-12-10:57:25; 151=15136; 55=MMM; 11=C_algo20240812105722; 31=0; 150=4; 39=4; 54=1; 17=exec20240812105725; 32=0; 41=algo20240812105722; 38=25226; 60=2024-08-12-10:57:25; 6=0.0; 14=5045; 37=algo20240812105722; 10=252;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=M3; 52=2024-08-12-10:57:27; 151=23882; 55=WBAI; 11=C_algo20240812105727; 31=0; 150=4; 39=4; 54=2; 17=exec20240812105727; 32=0; 41=algo20240812105727; 38=31842; 60=2024-08-12-10:57:27; 6=0.0; 14=0; 37=algo20240812105727; 10=252;
