8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-12-10:56:34; 55=AAPL; 40=2; 11=algo20240812105634; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=8513; 17=exec20240812105634; 38=25540; 60=2024-08-12-10:56:34; 6=1276.37; 14=8513; 37=algo20240812105634; 10=240;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=M3; 52=2024-08-12-10:56:43; 55=FB; 40=2; 11=algo20240812105642; 31=430.62; 150=2; 39=2; 54=2; 44=430.62; 32=7431; 17=exec20240812105643; 38=7431; 60=2024-08-12-10:56:43; 6=430.62; 14=7431; 37=algo20240812105642; 10=246;
8=FIX4.4; 35=8; 34=65; 49=MS; 56=M3; 52=2024-08-12-10:56:43; 55=GOOG; 40=2; 11=algo20240812105643; 31=42.05; 150=1; 39=1; 54=1; 44=42.05; 32=5141; 17=exec20240812105643; 38=25705; 60=2024-08-12-10:56:43; 6=42.05; 14=5141; 37=algo20240812105643; 10=240;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=M3; 52=2024-08-12-10:56:49; 55=GOOGL; 40=2; 11=algo20240812105647; 31=289.20; 150=2; 39=2; 54=1; 44=289.20; 32=8361; 17=exec20240812105649; 38=8361; 60=2024-08-12-10:56:49; 6=289.20; 14=8361; 37=algo20240812105647; 10=246;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=M3; 52=2024-08-12-10:56:51; 55=PEP; 40=2; 11=algo20240812105651; 31=36.21; 150=1; 39=1; 54=1; 44=36.21; 32=10634; 17=exec20240812105651; 38=31902; 60=2024-08-12-10:56:51; 6=36.21; 14=10634; 37=algo20240812105651; 10=240;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=M3; 52=2024-08-12-10:56:57; 55=CSCO; 40=2; 11=algo20240812105656; 31=233.73; 150=2; 39=2; 54=2; 44=233.73; 32=1761; 17=exec20240812105657; 38=1761; 60=2024-08-12-10:56:57; 6=233.73; 14=1761; 37=algo20240812105656; 10=246;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=M3; 52=2024-08-12-10:56:59; 55=AMGN; 40=2; 11=algo20240812105657; 31=116.62; 150=2; 39=2; 54=2; 44=116.62; 32=24566; 17=exec20240812105659; 38=24566; 60=2024-08-12-10:56:59; 6=116.62; 14=24566; 37=algo20240812105657; 10=246;
8=FIX4.4; 35=8; 34=85; 49=MS; 56=M3; 52=2024-08-12-10:57:00; 55=PYPL; 40=2; 11=algo20240812105659; 31=723.61; 150=2; 39=2; 54=2; 44=723.61; 32=31746; 17=exec20240812105700; 38=31746; 60=2024-08-12-10:57:00; 6=723.61; 14=31746; 37=algo20240812105659; 10=246;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=M3; 52=2024-08-12-10:57:00; 55=TSLA; 40=2; 11=algo20240812105700; 31=503.77; 150=1; 39=1; 54=2; 44=503.77; 32=13444; 17=exec20240812105700; 38=26889; 60=2024-08-12-10:57:00; 6=503.77; 14=13444; 37=algo20240812105700; 10=240;
8=FIX4.4; 35=8; 34=88; 49=MS; 56=M3; 52=2024-08-12-10:57:02; 55=TSLA; 40=2; 11=algo20240812105700; 31=503.77; 150=2; 39=2; 54=2; 44=503.77; 32=13445; 17=exec20240812105702; 38=26889; 60=2024-08-12-10:57:02; 6=503.77; 14=26889; 37=algo20240812105700; 10=246;
8=FIX4.4; 35=8; 34=90; 49=MS; 56=M3; 52=2024-08-12-10:57:02; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105702; 38=19576; 60=2024-08-12-10:57:02; 6=112.46; 14=3915; 37=algo20240812105702; 10=240;
