Symbol,OrderID,Side,Price,Qty,ExecID,
AAPL,algo20240812105634,2,1276.37,1276.37,8513,exec20240812105634,
GOOG,algo20240812105643,1,42.05,42.05,5141,exec20240812105643,
PEP,algo20240812105651,1,36.21,36.21,10634,exec20240812105651,
TSLA,algo20240812105700,2,503.77,503.77,13444,exec20240812105700,
TXN,algo20240812105702,1,112.46,112.46,3915,exec20240812105702,
TXN,algo20240812105702,1,112.46,112.46,3915,exec20240812105703,
TXN,algo20240812105702,1,112.46,112.46,3915,exec20240812105704,
AVGO,algo20240812105708,1,262.99,262.99,15792,exec20240812105708,
MMM,algo20240812105722,1,146.98,146.98,5045,exec20240812105722,
AIR,algo20240812105739,1,16.31,16.31,838,exec20240812105739,
AIR,algo20240812105739,1,16.31,16.31,838,exec20240812105741,
AIR,algo20240812105739,1,16.31,16.31,838,exec20240812105742,
AAN,algo20240812105745,2,25.68,25.68,4380,exec20240812105745,
ABBV,algo20240812105752,2,83.60,83.60,6123,exec20240812105752,
ABM,algo20240812105758,1,31.64,31.64,6025,exec20240812105758,
ABM,algo20240812105758,1,31.64,31.64,6025,exec20240812105759,
