8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-12-10:56:34; 55=AAPL; 40=2; 11=algo20240812105634; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=8513; 17=exec20240812105634; 38=25540; 60=2024-08-12-10:56:34; 6=1276.37; 14=8513; 37=algo20240812105634; 10=240;
8=FIX4.4; 35=8; 34=65; 49=MS; 56=M3; 52=2024-08-12-10:56:43; 55=GOOG; 40=2; 11=algo20240812105643; 31=42.05; 150=1; 39=1; 54=1; 44=42.05; 32=5141; 17=exec20240812105643; 38=25705; 60=2024-08-12-10:56:43; 6=42.05; 14=5141; 37=algo20240812105643; 10=240;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=M3; 52=2024-08-12-10:56:51; 55=PEP; 40=2; 11=algo20240812105651; 31=36.21; 150=1; 39=1; 54=1; 44=36.21; 32=10634; 17=exec20240812105651; 38=31902; 60=2024-08-12-10:56:51; 6=36.21; 14=10634; 37=algo20240812105651; 10=240;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=M3; 52=2024-08-12-10:57:00; 55=TSLA; 40=2; 11=algo20240812105700; 31=503.77; 150=1; 39=1; 54=2; 44=503.77; 32=13444; 17=exec20240812105700; 38=26889; 60=2024-08-12-10:57:00; 6=503.77; 14=13444; 37=algo20240812105700; 10=240;
8=FIX4.4; 35=8; 34=90; 49=MS; 56=M3; 52=2024-08-12-10:57:02; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105702; 38=19576; 60=2024-08-12-10:57:02; 6=112.46; 14=3915; 37=algo20240812105702; 10=240;
8=FIX4.4; 35=8; 34=91; 49=MS; 56=M3; 52=2024-08-12-10:57:03; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105703; 38=19576; 60=2024-08-12-10:57:03; 6=112.46; 14=7830; 37=algo20240812105702; 10=240;
8=FIX4.4; 35=8; 34=92; 49=MS; 56=M3; 52=2024-08-12-10:57:04; 55=TXN; 40=2; 11=algo20240812105702; 31=112.46; 150=1; 39=1; 54=1; 44=112.46; 32=3915; 17=exec20240812105704; 38=19576; 60=2024-08-12-10:57:04; 6=112.46; 14=11745; 37=algo20240812105702; 10=240;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=M3; 52=2024-08-12-10:57:08; 55=AVGO; 40=2; 11=algo20240812105708; 31=262.99; 150=1; 39=1; 54=1; 44=262.99; 32=15792; 17=exec20240812105708; 38=31584; 60=2024-08-12-10:57:08; 6=262.99; 14=15792; 37=algo20240812105708; 10=240;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=M3; 52=2024-08-12-10:57:22; 55=MMM; 40=2; 11=algo20240812105722; 31=146.98; 150=1; 39=1; 54=1; 44=146.98; 32=5045; 17=exec20240812105722; 38=25226; 60=2024-08-12-10:57:22; 6=146.98; 14=5045; 37=algo20240812105722; 10=240;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-08-12-10:57:39; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105739; 38=4192; 60=2024-08-12-10:57:39; 6=16.31; 14=838; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=M3; 52=2024-08-12-10:57:41; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105741; 38=4192; 60=2024-08-12-10:57:41; 6=16.31; 14=1676; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=138; 49=MS; 56=M3; 52=2024-08-12-10:57:42; 55=AIR; 40=2; 11=algo20240812105739; 31=16.31; 150=1; 39=1; 54=1; 44=16.31; 32=838; 17=exec20240812105742; 38=4192; 60=2024-08-12-10:57:42; 6=16.31; 14=2514; 37=algo20240812105739; 10=240;
8=FIX4.4; 35=8; 34=142; 49=MS; 56=M3; 52=2024-08-12-10:57:45; 55=AAN; 40=2; 11=algo20240812105745; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=4380; 17=exec20240812105745; 38=13142; 60=2024-08-12-10:57:45; 6=25.68; 14=4380; 37=algo20240812105745; 10=240;
8=FIX4.4; 35=8; 34=151; 49=MS; 56=M3; 52=2024-08-12-10:57:52; 55=ABBV; 40=2; 11=algo20240812105752; 31=83.60; 150=1; 39=1; 54=2; 44=83.60; 32=6123; 17=exec20240812105752; 38=30617; 60=2024-08-12-10:57:52; 6=83.60; 14=6123; 37=algo20240812105752; 10=240;
8=FIX4.4; 35=8; 34=157; 49=MS; 56=M3; 52=2024-08-12-10:57:58; 55=ABM; 40=2; 11=algo20240812105758; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=6025; 17=exec20240812105758; 38=18077; 60=2024-08-12-10:57:58; 6=31.64; 14=6025; 37=algo20240812105758; 10=240;
8=FIX4.4; 35=8; 34=158; 49=MS; 56=M3; 52=2024-08-12-10:57:59; 55=ABM; 40=2; 11=algo20240812105758; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=6025; 17=exec20240812105759; 38=18077; 60=2024-08-12-10:57:59; 6=31.64; 14=12050; 37=algo20240812105758; 10=240;
